Epoch,Dataset,Recall,Precision,TopKAcc
1,Brachypodium_distachyon,0.7813,0.9452,0.7757
2,Brachypodium_distachyon,0.8297,0.9658,0.8071
3,Brachypodium_distachyon,0.8562,0.9736,0.8286
4,Brachypodium_distachyon,0.8648,0.9789,0.8358
5,Brachypodium_distachyon,0.8693,0.9886,0.8421
6,Brachypodium_distachyon,0.8766,0.9841,0.8453
7,Brachypodium_distachyon,0.8813,0.9867,0.8502
8,Brachypodium_distachyon,0.8837,0.9878,0.8523
9,Brachypodium_distachyon,0.8867,0.9890,0.8562
10,Brachypodium_distachyon,0.8884,0.9892,0.8583
11,Brachypodium_distachyon,0.8929,0.9887,0.8626
12,Brachypodium_distachyon,0.8959,0.9891,0.8655
13,Brachypodium_distachyon,0.8977,0.9888,0.8667
14,Brachypodium_distachyon,0.8991,0.9890,0.8691
15,Brachypodium_distachyon,0.9019,0.9902,0.8711
16,Brachypodium_distachyon,0.9051,0.9882,0.8724
17,Brachypodium_distachyon,0.9053,0.9916,0.8748
18,Brachypodium_distachyon,0.9092,0.9893,0.8763
19,Brachypodium_distachyon,0.9112,0.9865,0.8771
20,Brachypodium_distachyon,0.9115,0.9897,0.8788
21,Brachypodium_distachyon,0.9146,0.9897,0.8813
22,Brachypodium_distachyon,0.9166,0.9893,0.8822
23,Brachypodium_distachyon,0.9185,0.9898,0.8842
24,Brachypodium_distachyon,0.9209,0.9882,0.8856
25,Brachypodium_distachyon,0.9225,0.9898,0.8870
26,Brachypodium_distachyon,0.9251,0.9878,0.8882
27,Brachypodium_distachyon,0.9245,0.9901,0.8900
28,Brachypodium_distachyon,0.9277,0.9872,0.8916
29,Brachypodium_distachyon,0.9274,0.9917,0.8921
30,Brachypodium_distachyon,0.9287,0.9908,0.8930
31,Brachypodium_distachyon,0.9323,0.9894,0.8947
32,Brachypodium_distachyon,0.9310,0.9920,0.8955
33,Brachypodium_distachyon,0.9368,0.9886,0.8982
34,Brachypodium_distachyon,0.9366,0.9890,0.8979
35,Brachypodium_distachyon,0.9378,0.9910,0.8995
36,Brachypodium_distachyon,0.9393,0.9907,0.9007
37,Brachypodium_distachyon,0.9405,0.9892,0.9012
38,Brachypodium_distachyon,0.9424,0.9882,0.9028
39,Brachypodium_distachyon,0.9418,0.9901,0.9031
40,Brachypodium_distachyon,0.9435,0.9880,0.9042
41,Brachypodium_distachyon,0.9445,0.9918,0.9061
42,Brachypodium_distachyon,0.9450,0.9919,0.9067
43,Brachypodium_distachyon,0.9420,0.9852,0.9031
44,Brachypodium_distachyon,0.9484,0.9903,0.9074
45,Brachypodium_distachyon,0.9514,0.9850,0.9084
46,Brachypodium_distachyon,0.9510,0.9894,0.9093
47,Brachypodium_distachyon,0.9514,0.9879,0.9102
48,Brachypodium_distachyon,0.9543,0.9881,0.9116
49,Brachypodium_distachyon,0.9531,0.9883,0.9113
50,Brachypodium_distachyon,0.9545,0.9898,0.9123
51,Brachypodium_distachyon,0.9531,0.9901,0.9122
52,Brachypodium_distachyon,0.9581,0.9871,0.9142
53,Brachypodium_distachyon,0.9570,0.9880,0.9150
54,Brachypodium_distachyon,0.9573,0.9896,0.9151
55,Brachypodium_distachyon,0.9590,0.9889,0.9154
56,Brachypodium_distachyon,0.9600,0.9890,0.9165
57,Brachypodium_distachyon,0.9597,0.9912,0.9178
58,Brachypodium_distachyon,0.9597,0.9915,0.9178
59,Brachypodium_distachyon,0.9610,0.9914,0.9191
60,Brachypodium_distachyon,0.9615,0.9911,0.9192
61,Brachypodium_distachyon,0.9633,0.9901,0.9197
62,Brachypodium_distachyon,0.9641,0.9894,0.9204
63,Brachypodium_distachyon,0.9637,0.9915,0.9210
64,Brachypodium_distachyon,0.9648,0.9903,0.9214
65,Brachypodium_distachyon,0.9660,0.9905,0.9221
66,Brachypodium_distachyon,0.9659,0.9921,0.9230
67,Brachypodium_distachyon,0.9660,0.9928,0.9233
68,Brachypodium_distachyon,0.9677,0.9897,0.9234
69,Brachypodium_distachyon,0.9698,0.9869,0.9240
70,Brachypodium_distachyon,0.9680,0.9934,0.9252
