Epoch,Dataset,Recall,Precision,TopKAcc
1,Brassica_juncea,0.9013,0.9573,0.8552
2,Brassica_juncea,0.9039,0.9702,0.8610
3,Brassica_juncea,0.9154,0.9670,0.8647
4,Brassica_juncea,0.9092,0.9695,0.8656
5,Brassica_juncea,0.9223,0.9656,0.8704
6,Brassica_juncea,0.9235,0.9702,0.8728
7,Brassica_juncea,0.9238,0.9732,0.8734
8,Brassica_juncea,0.9269,0.9729,0.8750
9,Brassica_juncea,0.9285,0.9668,0.8776
10,Brassica_juncea,0.9317,0.9772,0.8806
11,Brassica_juncea,0.9311,0.9811,0.8825
12,Brassica_juncea,0.9338,0.9747,0.8831
13,Brassica_juncea,0.9349,0.9764,0.8853
14,Brassica_juncea,0.9449,0.9701,0.8873
15,Brassica_juncea,0.9423,0.9726,0.8882
16,Brassica_juncea,0.9445,0.9753,0.8895
17,Brassica_juncea,0.9486,0.9647,0.8934
18,Brassica_juncea,0.9480,0.9757,0.8937
19,Brassica_juncea,0.9484,0.9717,0.8922
20,Brassica_juncea,0.9476,0.9754,0.8939
21,Brassica_juncea,0.9474,0.9813,0.8951
22,Brassica_juncea,0.9487,0.9813,0.8969
23,Brassica_juncea,0.9518,0.9797,0.8975
24,Brassica_juncea,0.9545,0.9782,0.9003
25,Brassica_juncea,0.9567,0.9757,0.9010
26,Brassica_juncea,0.9578,0.9675,0.9010
27,Brassica_juncea,0.9580,0.9777,0.9025
28,Brassica_juncea,0.9609,0.9767,0.9038
29,Brassica_juncea,0.9628,0.9721,0.9044
30,Brassica_juncea,0.9611,0.9801,0.9045
31,Brassica_juncea,0.9634,0.9797,0.9045
32,Brassica_juncea,0.9702,0.9745,0.9069
33,Brassica_juncea,0.9672,0.9777,0.9060
34,Brassica_juncea,0.9650,0.9775,0.9058
35,Brassica_juncea,0.9681,0.9780,0.9076
36,Brassica_juncea,0.9697,0.9824,0.9101
37,Brassica_juncea,0.9719,0.9775,0.9104
38,Brassica_juncea,0.9730,0.9777,0.9105
39,Brassica_juncea,0.9708,0.9791,0.9108
40,Brassica_juncea,0.9733,0.9783,0.9108
41,Brassica_juncea,0.9737,0.9798,0.9114
42,Brassica_juncea,0.9743,0.9790,0.9129
43,Brassica_juncea,0.9744,0.9824,0.9130
44,Brassica_juncea,0.9737,0.9821,0.9135
45,Brassica_juncea,0.9684,0.9812,0.9138
46,Brassica_juncea,0.9747,0.9844,0.9163
47,Brassica_juncea,0.9752,0.9856,0.9163
48,Brassica_juncea,0.9793,0.9768,0.9163
49,Brassica_juncea,0.9796,0.9787,0.9172
50,Brassica_juncea,0.9790,0.9820,0.9169
51,Brassica_juncea,0.9791,0.9823,0.9175
52,Brassica_juncea,0.9805,0.9841,0.9185
53,Brassica_juncea,0.9800,0.9829,0.9185
54,Brassica_juncea,0.9794,0.9835,0.9198
55,Brassica_juncea,0.9797,0.9846,0.9194
56,Brassica_juncea,0.9825,0.9812,0.9201
57,Brassica_juncea,0.9830,0.9847,0.9202
58,Brassica_juncea,0.9830,0.9851,0.9207
59,Brassica_juncea,0.9844,0.9754,0.9211
60,Brassica_juncea,0.9856,0.9829,0.9214
61,Brassica_juncea,0.9846,0.9841,0.9220
62,Brassica_juncea,0.9847,0.9807,0.9201
63,Brassica_juncea,0.9869,0.9830,0.9227
64,Brassica_juncea,0.9852,0.9857,0.9232
65,Brassica_juncea,0.9862,0.9843,0.9226
66,Brassica_juncea,0.9860,0.9820,0.9220
67,Brassica_juncea,0.9881,0.9830,0.9236
68,Brassica_juncea,0.9888,0.9836,0.9245
69,Brassica_juncea,0.9885,0.9842,0.9245
70,Brassica_juncea,0.9860,0.9839,0.9227
