Epoch,Dataset,Recall,Precision,TopKAcc
1,Brassica_napus,0.8574,0.9669,0.8311
2,Brassica_napus,0.8686,0.9688,0.8379
3,Brassica_napus,0.8718,0.9696,0.8410
4,Brassica_napus,0.8754,0.9722,0.8437
5,Brassica_napus,0.8779,0.9697,0.8455
6,Brassica_napus,0.8780,0.9760,0.8476
7,Brassica_napus,0.8811,0.9782,0.8508
8,Brassica_napus,0.8830,0.9779,0.8523
9,Brassica_napus,0.8848,0.9797,0.8543
10,Brassica_napus,0.8867,0.9781,0.8565
11,Brassica_napus,0.8908,0.9737,0.8577
12,Brassica_napus,0.8886,0.9816,0.8587
13,Brassica_napus,0.8935,0.9781,0.8605
14,Brassica_napus,0.8939,0.9800,0.8630
15,Brassica_napus,0.8953,0.9787,0.8642
16,Brassica_napus,0.8984,0.9794,0.8650
17,Brassica_napus,0.8986,0.9812,0.8664
18,Brassica_napus,0.8996,0.9821,0.8680
19,Brassica_napus,0.9030,0.9814,0.8696
20,Brassica_napus,0.9067,0.9769,0.8704
21,Brassica_napus,0.9069,0.9788,0.8727
22,Brassica_napus,0.9074,0.9795,0.8733
23,Brassica_napus,0.9073,0.9801,0.8740
24,Brassica_napus,0.9106,0.9812,0.8760
25,Brassica_napus,0.9112,0.9799,0.8761
26,Brassica_napus,0.9130,0.9819,0.8784
27,Brassica_napus,0.9150,0.9801,0.8793
28,Brassica_napus,0.9126,0.9870,0.8800
29,Brassica_napus,0.9203,0.9790,0.8814
30,Brassica_napus,0.9199,0.9799,0.8828
31,Brassica_napus,0.9197,0.9834,0.8836
32,Brassica_napus,0.9205,0.9837,0.8854
33,Brassica_napus,0.9232,0.9791,0.8850
34,Brassica_napus,0.9239,0.9821,0.8873
35,Brassica_napus,0.9259,0.9839,0.8883
36,Brassica_napus,0.9274,0.9818,0.8882
37,Brassica_napus,0.9266,0.9823,0.8892
38,Brassica_napus,0.9256,0.9862,0.8907
39,Brassica_napus,0.9308,0.9807,0.8907
40,Brassica_napus,0.9314,0.9833,0.8918
41,Brassica_napus,0.9330,0.9831,0.8929
42,Brassica_napus,0.9327,0.9812,0.8929
43,Brassica_napus,0.9328,0.9827,0.8935
44,Brassica_napus,0.9349,0.9836,0.8953
45,Brassica_napus,0.9347,0.9839,0.8949
