Epoch,Dataset,Recall,Precision,TopKAcc
1,Glycine_max,0.9620,0.9925,0.9005
11,Glycine_max,0.9683,0.9951,0.9059
21,Glycine_max,0.9710,0.9960,0.9088
31,Glycine_max,0.9752,0.9946,0.9117
41,Glycine_max,0.9771,0.9957,0.9142
51,Glycine_max,0.9801,0.9957,0.9167
61,Glycine_max,0.9818,0.9963,0.9183
71,Glycine_max,0.9845,0.9956,0.9197
81,Glycine_max,0.9862,0.9959,0.9211
91,Glycine_max,0.9877,0.9958,0.9218
101,Glycine_max,0.9894,0.9952,0.9230
111,Glycine_max,0.9902,0.9954,0.9238
121,Glycine_max,0.9912,0.9954,0.9247
131,Glycine_max,0.9918,0.9960,0.9251
141,Glycine_max,0.9928,0.9956,0.9257
151,Glycine_max,0.9931,0.9961,0.9264
161,Glycine_max,0.9936,0.9967,0.9266
171,Glycine_max,0.9944,0.9964,0.9268
181,Glycine_max,0.9949,0.9961,0.9271
191,Glycine_max,0.9952,0.9963,0.9274
