Epoch,Dataset,Recall,Precision,TopKAcc
1,Gossypium_raimondii,0.9297,0.9795,0.8535
11,Gossypium_raimondii,0.9480,0.9825,0.8677
21,Gossypium_raimondii,0.9579,0.9842,0.8760
31,Gossypium_raimondii,0.9646,0.9818,0.8817
41,Gossypium_raimondii,0.9742,0.9857,0.8882
51,Gossypium_raimondii,0.9788,0.9834,0.8927
61,Gossypium_raimondii,0.9815,0.9891,0.8957
71,Gossypium_raimondii,0.9842,0.9908,0.8975
81,Gossypium_raimondii,0.9870,0.9883,0.8987
91,Gossypium_raimondii,0.9883,0.9883,0.9010
101,Gossypium_raimondii,0.9904,0.9905,0.9018
111,Gossypium_raimondii,0.9922,0.9909,0.9025
121,Gossypium_raimondii,0.9922,0.9907,0.9024
131,Gossypium_raimondii,0.9932,0.9884,0.9030
141,Gossypium_raimondii,0.9938,0.9909,0.9034
151,Gossypium_raimondii,0.9939,0.9915,0.9035
161,Gossypium_raimondii,0.9940,0.9938,0.9043
171,Gossypium_raimondii,0.9950,0.9928,0.9042
181,Gossypium_raimondii,0.9943,0.9936,0.9045
191,Gossypium_raimondii,0.9948,0.9930,0.9045
