Epoch,Dataset,Recall,Precision,TopKAcc
1,Lactuca_sativa,0.9324,0.9892,0.8881
11,Lactuca_sativa,0.9477,0.9913,0.8997
21,Lactuca_sativa,0.9553,0.9926,0.9067
31,Lactuca_sativa,0.9631,0.9919,0.9130
41,Lactuca_sativa,0.9673,0.9936,0.9176
51,Lactuca_sativa,0.9723,0.9932,0.9215
61,Lactuca_sativa,0.9778,0.9909,0.9250
71,Lactuca_sativa,0.9797,0.9939,0.9274
81,Lactuca_sativa,0.9828,0.9937,0.9291
91,Lactuca_sativa,0.9839,0.9951,0.9311
101,Lactuca_sativa,0.9866,0.9949,0.9326
111,Lactuca_sativa,0.9884,0.9940,0.9340
121,Lactuca_sativa,0.9888,0.9951,0.9347
131,Lactuca_sativa,0.9905,0.9944,0.9357
141,Lactuca_sativa,0.9920,0.9937,0.9365
151,Lactuca_sativa,0.9924,0.9951,0.9370
161,Lactuca_sativa,0.9935,0.9941,0.9377
171,Lactuca_sativa,0.9921,0.9925,0.9376
