Epoch,Dataset,Recall,Precision,TopKAcc
1,Medicago_truncatula,0.9630,0.9888,0.8872
2,Medicago_truncatula,0.9644,0.9924,0.8887
3,Medicago_truncatula,0.9654,0.9933,0.8894
4,Medicago_truncatula,0.9657,0.9938,0.8898
5,Medicago_truncatula,0.9672,0.9931,0.8904
6,Medicago_truncatula,0.9677,0.9937,0.8908
7,Medicago_truncatula,0.9685,0.9932,0.8914
8,Medicago_truncatula,0.9686,0.9935,0.8914
9,Medicago_truncatula,0.9690,0.9936,0.8916
10,Medicago_truncatula,0.9696,0.9942,0.8922
11,Medicago_truncatula,0.9701,0.9941,0.8924
12,Medicago_truncatula,0.9702,0.9945,0.8930
13,Medicago_truncatula,0.9699,0.9952,0.8931
14,Medicago_truncatula,0.9706,0.9946,0.8934
15,Medicago_truncatula,0.9719,0.9936,0.8940
16,Medicago_truncatula,0.9714,0.9950,0.8941
17,Medicago_truncatula,0.9721,0.9946,0.8940
18,Medicago_truncatula,0.9726,0.9938,0.8944
19,Medicago_truncatula,0.9723,0.9950,0.8946
20,Medicago_truncatula,0.9728,0.9947,0.8951
21,Medicago_truncatula,0.9733,0.9941,0.8950
22,Medicago_truncatula,0.9732,0.9949,0.8955
23,Medicago_truncatula,0.9731,0.9954,0.8956
24,Medicago_truncatula,0.9747,0.9938,0.8958
25,Medicago_truncatula,0.9740,0.9947,0.8960
26,Medicago_truncatula,0.9738,0.9949,0.8962
27,Medicago_truncatula,0.9742,0.9951,0.8961
28,Medicago_truncatula,0.9749,0.9947,0.8966
29,Medicago_truncatula,0.9751,0.9945,0.8968
30,Medicago_truncatula,0.9751,0.9955,0.8971
31,Medicago_truncatula,0.9757,0.9945,0.8971
32,Medicago_truncatula,0.9755,0.9950,0.8972
33,Medicago_truncatula,0.9758,0.9946,0.8973
34,Medicago_truncatula,0.9761,0.9947,0.8976
35,Medicago_truncatula,0.9760,0.9953,0.8979
36,Medicago_truncatula,0.9763,0.9949,0.8976
37,Medicago_truncatula,0.9762,0.9958,0.8983
38,Medicago_truncatula,0.9774,0.9946,0.8982
39,Medicago_truncatula,0.9769,0.9954,0.8985
40,Medicago_truncatula,0.9768,0.9955,0.8987
41,Medicago_truncatula,0.9780,0.9944,0.8987
42,Medicago_truncatula,0.9773,0.9948,0.8986
43,Medicago_truncatula,0.9779,0.9945,0.8990
44,Medicago_truncatula,0.9785,0.9941,0.8992
45,Medicago_truncatula,0.9780,0.9952,0.8994
46,Medicago_truncatula,0.9779,0.9958,0.8995
47,Medicago_truncatula,0.9784,0.9952,0.8994
48,Medicago_truncatula,0.9787,0.9948,0.8997
49,Medicago_truncatula,0.9784,0.9955,0.8997
50,Medicago_truncatula,0.9791,0.9947,0.9001
51,Medicago_truncatula,0.9788,0.9954,0.9002
52,Medicago_truncatula,0.9789,0.9955,0.9002
53,Medicago_truncatula,0.9793,0.9950,0.9002
54,Medicago_truncatula,0.9792,0.9955,0.9003
55,Medicago_truncatula,0.9796,0.9958,0.9009
56,Medicago_truncatula,0.9801,0.9954,0.9009
57,Medicago_truncatula,0.9794,0.9954,0.9008
58,Medicago_truncatula,0.9800,0.9951,0.9012
59,Medicago_truncatula,0.9806,0.9951,0.9014
60,Medicago_truncatula,0.9799,0.9957,0.9015
61,Medicago_truncatula,0.9810,0.9949,0.9017
62,Medicago_truncatula,0.9805,0.9948,0.9012
63,Medicago_truncatula,0.9812,0.9948,0.9019
64,Medicago_truncatula,0.9811,0.9952,0.9018
65,Medicago_truncatula,0.9816,0.9948,0.9020
66,Medicago_truncatula,0.9811,0.9960,0.9021
67,Medicago_truncatula,0.9817,0.9947,0.9020
68,Medicago_truncatula,0.9816,0.9955,0.9025
69,Medicago_truncatula,0.9817,0.9952,0.9024
70,Medicago_truncatula,0.9821,0.9945,0.9024
71,Medicago_truncatula,0.9821,0.9947,0.9026
72,Medicago_truncatula,0.9824,0.9945,0.9026
73,Medicago_truncatula,0.9824,0.9952,0.9028
74,Medicago_truncatula,0.9827,0.9953,0.9029
75,Medicago_truncatula,0.9827,0.9951,0.9032
76,Medicago_truncatula,0.9826,0.9953,0.9034
77,Medicago_truncatula,0.9822,0.9964,0.9037
78,Medicago_truncatula,0.9832,0.9955,0.9036
