Epoch,Dataset,Recall,Precision,TopKAcc
1,Brachypodium_distachyon_5e3,0.9423,0.0148,0.1527
1,Brassica_juncea_5e3,0.8741,0.0210,0.1702
1,Brassica_napus_5e3,0.9102,0.0170,0.1951
1,Cajanus_cajan_5e3,0.9883,0.0486,0.3851
1,Glycine_max_5e3,0.9864,0.0400,0.3316
1,Gossypium_raimondii_5e3,0.9508,0.0304,0.2570
1,Lactuca_sativa_5e3,0.9714,0.0246,0.2347
1,Medicago_truncatula_5e3,0.9826,0.0352,0.3384
1,Pisum_sativum_5e3,0.9829,0.0327,0.3711
1,Theobroma_cacao_5e3,0.9840,0.0530,0.4335
2,Brachypodium_distachyon_5e3,0.9489,0.0170,0.2152
2,Brassica_juncea_5e3,0.9263,0.0248,0.2106
2,Brassica_napus_5e3,0.9377,0.0201,0.2300
2,Cajanus_cajan_5e3,0.9813,0.0661,0.4089
2,Glycine_max_5e3,0.9833,0.0451,0.3813
2,Gossypium_raimondii_5e3,0.9660,0.0352,0.2860
2,Lactuca_sativa_5e3,0.9686,0.0305,0.2656
2,Medicago_truncatula_5e3,0.9860,0.0363,0.3772
2,Pisum_sativum_5e3,0.9767,0.0450,0.3930
2,Theobroma_cacao_5e3,0.9909,0.0557,0.4505
3,Brachypodium_distachyon_5e3,0.9059,0.0310,0.2463
3,Brassica_juncea_5e3,0.9389,0.0298,0.2374
3,Brassica_napus_5e3,0.9413,0.0253,0.2562
3,Cajanus_cajan_5e3,0.9851,0.0850,0.4354
3,Glycine_max_5e3,0.9856,0.0615,0.4134
3,Gossypium_raimondii_5e3,0.9750,0.0386,0.3138
3,Lactuca_sativa_5e3,0.9767,0.0350,0.2884
3,Medicago_truncatula_5e3,0.9805,0.0504,0.4112
3,Pisum_sativum_5e3,0.9748,0.0634,0.4158
3,Theobroma_cacao_5e3,0.9873,0.0843,0.4877
4,Brachypodium_distachyon_5e3,0.9501,0.0249,0.2590
4,Brassica_juncea_5e3,0.9533,0.0281,0.2399
4,Brassica_napus_5e3,0.9524,0.0248,0.2751
4,Cajanus_cajan_5e3,0.9915,0.0809,0.4436
4,Glycine_max_5e3,0.9862,0.0711,0.4376
4,Gossypium_raimondii_5e3,0.9744,0.0447,0.3344
4,Lactuca_sativa_5e3,0.9750,0.0414,0.3047
4,Medicago_truncatula_5e3,0.9835,0.0558,0.4290
