Epoch,Dataset,Recall,Precision,TopKAcc
1,Pisum_sativum,0.9419,0.9829,0.8436
11,Pisum_sativum,0.9520,0.9867,0.8530
21,Pisum_sativum,0.9614,0.9856,0.8587
31,Pisum_sativum,0.9692,0.9848,0.8639
41,Pisum_sativum,0.9721,0.9876,0.8677
51,Pisum_sativum,0.9794,0.9840,0.8702
1,Pisum_sativum,0.9770,0.9837,0.8697
11,Pisum_sativum,0.9797,0.9851,0.8729
21,Pisum_sativum,0.9855,0.9823,0.8754
31,Pisum_sativum,0.9879,0.9857,0.8776
41,Pisum_sativum,0.9882,0.9850,0.8777
1,Pisum_sativum,0.9911,0.9885,0.8797
11,Pisum_sativum,0.9927,0.9894,0.8800
21,Pisum_sativum,0.9928,0.9908,0.8806
1,Pisum_sativum,0.9938,0.9872,0.8810
11,Pisum_sativum,0.9934,0.9882,0.8807
21,Pisum_sativum,0.9928,0.9905,0.8814
31,Pisum_sativum,0.9941,0.9903,0.8810
41,Pisum_sativum,0.9938,0.9919,0.8814
51,Pisum_sativum,0.9955,0.9897,0.8819
61,Pisum_sativum,0.9940,0.9923,0.8819
71,Pisum_sativum,0.9957,0.9895,0.8827
81,Pisum_sativum,0.9951,0.9919,0.8819
91,Pisum_sativum,0.9949,0.9922,0.8822
101,Pisum_sativum,0.9954,0.9905,0.8822
111,Pisum_sativum,0.9955,0.9916,0.8822
121,Pisum_sativum,0.9955,0.9931,0.8824
