Epoch,Dataset,Recall,Precision,TopKAcc
1,Brachypodium_distachyon_5e3,0.8003,0.0164,0.1013
1,Brassica_juncea_5e3,0.8828,0.0118,0.1175
1,Brassica_napus_5e3,0.8470,0.0150,0.1572
1,Cajanus_cajan_5e3,0.9689,0.0417,0.3600
1,Glycine_max_5e3,0.9398,0.0456,0.2963
1,Gossypium_raimondii_5e3,0.9444,0.0212,0.2364
1,Lactuca_sativa_5e3,0.8842,0.0277,0.1819
1,Medicago_truncatula_5e3,0.8861,0.0463,0.3047
1,Pisum_sativum_5e3,0.9328,0.0362,0.3518
1,Theobroma_cacao_5e3,0.9600,0.0471,0.3909
2,Brachypodium_distachyon_5e3,0.8992,0.0175,0.1261
2,Brassica_juncea_5e3,0.9515,0.0124,0.1538
2,Brassica_napus_5e3,0.9189,0.0159,0.1799
2,Cajanus_cajan_5e3,0.9898,0.0419,0.3763
2,Glycine_max_5e3,0.9762,0.0450,0.3335
2,Gossypium_raimondii_5e3,0.9749,0.0212,0.2404
2,Lactuca_sativa_5e3,0.9451,0.0278,0.2134
2,Medicago_truncatula_5e3,0.9503,0.0456,0.3377
2,Pisum_sativum_5e3,0.9672,0.0361,0.3722
2,Theobroma_cacao_5e3,0.9873,0.0472,0.4100
3,Brachypodium_distachyon_5e3,0.9221,0.0219,0.2103
3,Brassica_juncea_5e3,0.9672,0.0160,0.2108
3,Brassica_napus_5e3,0.9394,0.0204,0.2396
3,Cajanus_cajan_5e3,0.9932,0.0523,0.3888
3,Glycine_max_5e3,0.9814,0.0542,0.3852
3,Gossypium_raimondii_5e3,0.9801,0.0266,0.2884
3,Lactuca_sativa_5e3,0.9587,0.0343,0.2767
3,Medicago_truncatula_5e3,0.9619,0.0539,0.3859
3,Pisum_sativum_5e3,0.9769,0.0446,0.3991
3,Theobroma_cacao_5e3,0.9911,0.0573,0.4404
4,Brachypodium_distachyon_5e3,0.9385,0.0216,0.2251
4,Brassica_juncea_5e3,0.9737,0.0161,0.2172
4,Brassica_napus_5e3,0.9496,0.0204,0.2610
4,Cajanus_cajan_5e3,0.9944,0.0527,0.4138
4,Glycine_max_5e3,0.9875,0.0530,0.3993
4,Gossypium_raimondii_5e3,0.9846,0.0268,0.3042
4,Lactuca_sativa_5e3,0.9723,0.0331,0.2923
4,Medicago_truncatula_5e3,0.9765,0.0504,0.4016
4,Pisum_sativum_5e3,0.9847,0.0429,0.4119
4,Theobroma_cacao_5e3,0.9935,0.0588,0.4837
5,Brachypodium_distachyon_5e3,0.9012,0.0271,0.2329
5,Brassica_juncea_5e3,0.9561,0.0203,0.2313
5,Brassica_napus_5e3,0.9172,0.0261,0.2630
5,Cajanus_cajan_5e3,0.9880,0.0638,0.4182
5,Glycine_max_5e3,0.9728,0.0653,0.3963
5,Gossypium_raimondii_5e3,0.9753,0.0335,0.3098
5,Lactuca_sativa_5e3,0.9486,0.0410,0.2940
5,Medicago_truncatula_5e3,0.9488,0.0630,0.4066
5,Pisum_sativum_5e3,0.9672,0.0548,0.4052
5,Theobroma_cacao_5e3,0.9890,0.0723,0.4875
6,Brachypodium_distachyon_5e3,0.9285,0.0282,0.2641
6,Brassica_juncea_5e3,0.9599,0.0222,0.2557
6,Brassica_napus_5e3,0.9380,0.0275,0.2796
6,Cajanus_cajan_5e3,0.9922,0.0714,0.4330
6,Glycine_max_5e3,0.9831,0.0713,0.4233
6,Gossypium_raimondii_5e3,0.9761,0.0373,0.3192
6,Lactuca_sativa_5e3,0.9669,0.0437,0.3152
6,Medicago_truncatula_5e3,0.9726,0.0657,0.4253
6,Pisum_sativum_5e3,0.9789,0.0594,0.4257
6,Theobroma_cacao_5e3,0.9902,0.0818,0.4949
7,Brachypodium_distachyon_5e3,0.9258,0.0314,0.2704
7,Brassica_juncea_5e3,0.9621,0.0236,0.2692
7,Brassica_napus_5e3,0.9405,0.0293,0.2837
7,Cajanus_cajan_5e3,0.9921,0.0759,0.4468
7,Glycine_max_5e3,0.9851,0.0744,0.4497
7,Gossypium_raimondii_5e3,0.9768,0.0401,0.3239
7,Lactuca_sativa_5e3,0.9715,0.0447,0.3255
